asset_id,canonical_name,aliases,development_codes,target,payload,linker,indication,company,clinical_phase,adc_scope,catalog_status,source_count,sources,nct_ids,date_added_to_table
NAR_DRG0JEJPW,YH-013,YH 013; YH013,,Epidermal growth factor receptor (EGFR); Hepatocyte growth factor receptor (MET),,,,"Biocytogen Pharmaceuticals (Beijing) Co., Ltd; Eucure (Beijing) Biopharma Co., Ltd",Investigative,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; conference_abstract_corpus,,2026-09-01
NAR_DRG0JEUPG,Sacituzumab-Deruxtecan,WO2022068878A1,,Tumor-associated calcium signal transducer 2 (TROP2),,,,Duality Biologics,Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0JEVIM,Disitamab vedotin,RC48; RC 48-ADC; RC-48; RC-48-ADC; RC48-ADC; Aidixi; Recombinant Humanized anti-HER2 Monoclonal Antibody-MMAE Conjugate,,Receptor tyrosine-protein kinase erbB-2 (HER2),MMAE (monomethyl auristatin E),valine-citrulline cleavable linker (typical),"Advanced Breast Cancer; Advanced Cancer; Advanced Gastric Cancer; Advanced Gastroesophageal Adenocarcinoma; Advanced Gastroesophageal Junction Adenocarcinoma; Advanced Melanoma; Advanced Solid Tumor; Advanced Solid Tumors; Advanced Urothelial Carcinoma; Antibody-drug Conjugates; Bile Duct Adenocarcinoma Non-Resectable; Biliary Carcinoma; Biliary Tract Cancer; Bladder (Urothelial, Transitional Cell) Cancer; Bladder Cancer; Bladder Urothelial Carcinoma; Breast Cancer; Breast Diseases; Breast Neoplasms; CDK12 Gene Mutation; Capecitabine; Carcinoma; Carcinoma, Non-Small-Cell Lung; Castration-resistant Prostate Cancer; Cervical Cancer; Colo-rectal Cancer; Colorectal Cancer; Colorectal Neoplasms; Disitamab Vedotin; ERBB2 Gene Duplication; ERBB2 Mutation-Related Tumors; Endometrial Neoplasms; Extramammary Paget Disease; First-line Treatment; GC/GEJC; Gastric Cancer; Gastric Cancer/Gastroesophageal Junction Adenocarcinoma; Gastric Carcinoma; Gastroesophageal Junction Adenocarcinoma; Gynecological Malignancy; HER-2 Protein Overexpression; HER2; HER2 + Breast Cancer; HER2 Expression; HER2 Gene Mutation; HER2 Low Breast Neoplasms; HER2 Overexpressing Gastric Carcinoma; HER2 Positive Breast Carcinoma; HER2 Positive Breast Neoplasms; HER2+ Breast Cancer; HER2-Positive Solid Tumors; HER2-expressing; HER2-expressing High-risk or Very High-risk NMIBC Without Visible Foci of Disease After TURBT; HER2-low Breast Cancer; HER2-low-expressing Gastric Cancer; HER2-positive; HER2-positive Advanced Breast With Liver Metastases; HER2-positive Advanced Gastric Cancer or Gastroesophageal Junction Adenocarcinoma; HER2-positive Breast Cancer; HER2-positive Gastric Cancer; HER2-positive Gastroesophageal Junction Adenocarcinoma; HER2-positive Metastatic Breast Cancer; HR Positive/HER2 Low Expression Metastatic Breast Cancer; Head and Neck Neoplasms; Her2 Overexpressing High-Risk Non-Muscle Invasive Bladder Urothelial Carcinoma; High-risk Non-muscle Invasive Bladder Cancer; Immune Checkpoint Inhibitors; Immunotherapy; Lenvatinib; Lung Cancer; Lung Cancer (Non-Small Cell); MIBC; Mammary or Extramammary Paget's Disease; Melanoma, Stage II; Metastatic Breast Cancer; Metastatic Breast Cancer ( HER2 Negative); Metastatic Castration-resistant Prostate Cancer; Metastatic Gastric Cancer; Metastatic HER2 Positive Gastroesophageal Junction Cancer; Muscle Invasive Bladder Cancer; Muscle Invasive Bladder Cancer (MIBC); Muscle Invasive Bladder Carcinoma; Muscle-Invasive Bladder Carcinoma; Muscle-invasive Bladder Cancer; Muscle-invasive Bladder Urothelial Carcinoma; NMIBC; Neoadjuvant Immunotherapy; Neoadjuvant Therapy; Neoadjuvant Treatment of Her2-positive Muscle-invasive Bladder Cance; Non Small Cell Lung Cancer; Non-Muscle Invasive Bladder Cancer; Non-Muscle-Invasive Bladder Cancer (NMIBC); Non-muscle Invasive Bladder Cancer; Non-small Cell Lung Cancer; Ovarian Cancer Recurrent; Ovarian Neoplasms; Ovary Cancer; PD-1; Paget Disease, Extramammary; Pancreas Cancer, Duct Cell Adenocarcinoma; Pancreatic Cancer; Precision Therapy; Probiotics; Prostate Cancer; Prostate Cancer Castration-resistant Prostate Cancer; Radical Cystectomy; Radiotherapy; Rectal Cancer; Recurrent Cervical Cancer; Salivary Gland Carcinoma; Salivary Gland Tumors; Scrotum Disease; Sebaceous Gland Carcinoma; Solid Tumor; Solid Tumors; Stomach Neoplasms; Triple Negative Breast Neoplasms; UTUC; Unresectable Gastric Carcinoma; Upper Tract Urothelial Carcinoma; Upper Urinary Tract Urothelial Carcinoma; Urinary Bladder Neoplasms; Urothelial Carcinoma; Uterine Cervical Neoplasms; ctDNA; mCRPC","RemeGen Co., Ltd; RemeGen Co., Ltd; Merck Sharp & Dohme LLC","Approved (FDA): Jun, 2021",STRICT_ADC,MULTISOURCE_CONFIRMED,3,nar_reference; configs/known_adc_assets.yaml; clinicaltrials,NCT02881190; NCT03556345; NCT04264936; NCT04714190,2026-09-01
NAR_DRG0JFYCH,KK2845,,,,,,,,Phase 1,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; europe_pmc,NCT06812104,2026-09-01
NAR_DRG0JGJDN,HBM9033,HBM 9033; HBM-9033; HBM9033; PF-08052666; PF 08052666; PF08052666; SGN-MesoC2,,Mesothelin (MSLN),,,,Harbour Biomed Therapeutics Ltd,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0JJEUT,Aprutumab ixadotin,Aprutumab ixadotin; BAY 1187982; BAY-1187982; BAY1187982; FGFR2-ADC,,Fibroblast growth factor receptor 2 (FGFR2),,,,Bayer AG,Phase 1 (Terminated),PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; clinicaltrials,NCT02368951,2026-09-01
NAR_DRG0JJONS,HS-20124,,,,,,,,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT06763159,2026-09-01
NAR_DRG0JKQOU,HB0052,HB 0052; HB-0052,,5'-nucleotidase (NT5E),,,,"Huabo Biopharm Co., Ltd",Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0JLDZY,SIBP-A13,SIBP A13; SIBPA13,,Receptor tyrosine-protein kinase erbB-3 (HER3),,,,Sino Biopharmaceutical Ltd,Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0JLIZJ,CD38 ADC,,,,,,,,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0JMVCQ,ONC-784,ONC 784; ONC784,,Signal transducer CD24 (CD24),,,,Oncoc4 Inc; Oncoimmune-Guangzhou,Investigative,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,,2026-09-01
NAR_DRG0JMXQX,HDM2012,,,,,,,,Phase 1,PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; conference_abstract_corpus,NCT07100249,2026-09-01
NAR_DRG0JNCVK,YL217,,,,,,,,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT06859762,2026-09-01
NAR_DRG0JNMAT,SIBP-A17,,,,,,,,Phase 1,REFERENCE_UNCLASSIFIED,REFERENCE_CONFIRMED,1,nar_reference,NCT06512116,2026-09-01
NAR_DRG0JNXDB,XMT-1592,XMT 1592; XMT1592; XMT-1592,,Sodium-dependent phosphate transport protein 2B (SLC34A2),,,,"Mersana Therapeutics, Inc",Phase 1 (Terminated),PRESUMED_ADC,MULTISOURCE_CONFIRMED,2,nar_reference; conference_abstract_corpus,NCT04396340,2026-09-01
NAR_DRG0JNZLF,PCA-062,"NOV-10; PCA 062; PCA-062; PCA-pCAD; PCA06 2, NOV-10; PCA062",,Cadherin-3 (CDH3),,,,MorphoSys AG; Novartis AG,Phase 1 (Terminated),PRESUMED_ADC,MULTISOURCE_CONFIRMED,3,nar_reference; conference_abstract_corpus; europe_pmc,NCT02375958,2026-09-01
